id,topic,source_lang,original_text,simplified_arabic,keywords,difficulty
1,Programming Fundamentals,fr,"Une variable est un espace mémoire nommé utilisé pour stocker une valeur qui peut changer pendant l'exécution du programme.","المتغير هو مكان في الذاكرة نضع فيه قيمة، ويمكن أن تتغير هذه القيمة أثناء تشغيل البرنامج.","variable|memory|program",easy
2,Programming Fundamentals,fr,"Une boucle permet d'exécuter plusieurs fois le même bloc d'instructions tant qu'une condition est vérifiée.","الحلقة تسمح بتكرار نفس الأوامر عدة مرات ما دام الشرط صحيحًا.","loop|condition|instructions",easy
3,Programming Fundamentals,ar,"تُستخدم الجمل الشرطية للتحكم في مسار تنفيذ البرنامج بناءً على تحقق شرط معين.","الجمل الشرطية تجعل البرنامج يختار ما الذي سيفعله حسب تحقق شرط معين.","conditional|execution|program",easy
4,Programming Fundamentals,fr,"Une fonction est un ensemble d'instructions regroupées pour accomplir une tâche spécifique et pouvant être réutilisées.","الدالة هي مجموعة أوامر تقوم بمهمة محددة، ويمكن استعمالها أكثر من مرة.","function|reuse|instructions",easy
5,Programming Fundamentals,ar,"يُعد نوع البيانات عنصرًا أساسيًا يحدد طبيعة القيم التي يمكن تخزينها في المتغيرات.","نوع البيانات يحدد نوع القيم التي يمكن حفظها داخل المتغير.","data type|variable|value",easy
6,Object-Oriented Programming,fr,"En programmation orientée objet, une classe sert de modèle pour créer des objets partageant les mêmes propriétés et comportements.","في البرمجة كائنية التوجه، الصنف هو قالب نستعمله لإنشاء كائنات لها نفس الخصائص والوظائف.","class|object|oop",easy
7,Object-Oriented Programming,fr,"Un objet est une instance concrète d'une classe, possédant ses propres valeurs pour les attributs définis.","الكائن هو نسخة فعلية من الصنف، وله قيمه الخاصة للخصائص.","object|class|attributes",easy
8,Object-Oriented Programming,fr,"L'héritage permet à une classe d'acquérir les propriétés et les méthodes d'une autre classe afin de favoriser la réutilisation du code.","الوراثة تعني أن صنفًا جديدًا يمكنه الاستفادة من الخصائص والوظائف الموجودة في صنف آخر، وهذا يساعد على إعادة استعمال الكود.","inheritance|class|reuse",medium
9,Object-Oriented Programming,ar,"يتيح التغليف إخفاء التفاصيل الداخلية للكائن وحماية البيانات من الوصول المباشر غير المرغوب فيه.","التغليف يعني إخفاء التفاصيل الداخلية للكائن لحماية البيانات ومنع الوصول المباشر غير المناسب إليها.","encapsulation|object|data",medium
10,Object-Oriented Programming,fr,"Le polymorphisme permet à des objets de classes différentes de répondre différemment à une même méthode.","تعدد الأشكال يعني أن كائنات مختلفة يمكنها تنفيذ نفس الوظيفة بطرق مختلفة.","polymorphism|method|object",medium
11,Algorithms,fr,"Un algorithme est une suite finie d'étapes ordonnées permettant de résoudre un problème donné.","الخوارزمية هي مجموعة خطوات مرتبة ومحددة لحل مشكلة معينة.","algorithm|steps|problem",easy
12,Algorithms,fr,"La recherche linéaire consiste à parcourir les éléments un par un jusqu'à trouver la valeur recherchée.","البحث الخطي يعني فحص العناصر واحدًا واحدًا حتى نجد القيمة المطلوبة.","linear search|search|elements",easy
13,Algorithms,fr,"La recherche binaire réduit l'espace de recherche de moitié à chaque étape, à condition que les données soient triées.","البحث الثنائي يقسم مجال البحث إلى نصفين في كل مرة، لكنه يحتاج إلى بيانات مرتبة.","binary search|sorted data|search",medium
14,Algorithms,ar,"تُستخدم خوارزميات الفرز لترتيب البيانات وفق ترتيب معيّن مثل التصاعدي أو التنازلي.","خوارزميات الفرز تُستعمل لترتيب البيانات، مثل وضعها من الأصغر إلى الأكبر.","sorting|data|order",easy
15,Algorithms,ar,"يُقصد بتعقيد الزمن عدد العمليات التقريبية التي تنفذها الخوارزمية بالنسبة إلى حجم المدخلات.","تعقيد الزمن يعبّر عن مقدار العمل الذي تقوم به الخوارزمية عندما يكبر حجم البيانات.","time complexity|algorithm|input",medium
16,Databases,fr,"Une base de données relationnelle organise les données sous forme de tables liées entre elles par des relations.","قاعدة البيانات العلائقية تحفظ المعلومات في جداول مرتبطة فيما بينها.","relational database|tables|relations",easy
17,Databases,fr,"Les requêtes SQL sont utilisées pour récupérer, ajouter, modifier ou supprimer des données dans une base de données.","استعلامات SQL هي أوامر نستعملها لجلب البيانات أو إضافتها أو تعديلها أو حذفها من قاعدة البيانات.","SQL|query|database",easy
18,Databases,ar,"يُستخدم المفتاح الأساسي لتمييز كل سجل داخل الجدول بطريقة فريدة.","المفتاح الأساسي هو قيمة تميز كل سطر في الجدول بشكل خاص.","primary key|table|record",easy
19,Databases,fr,"La normalisation vise à réduire la redondance des données et à améliorer la cohérence dans la base de données.","التطبيع يهدف إلى تقليل تكرار البيانات وتحسين تنظيمها داخل قاعدة البيانات.","normalization|redundancy|consistency",medium
20,Databases,ar,"يسمح الربط بين الجداول باسترجاع بيانات مرتبطة من أكثر من جدول داخل نفس الاستعلام.","الربط بين الجداول يسمح بجلب معلومات من عدة جداول مرتبطة في طلب واحد.","join|tables|query",medium
21,Web Development,fr,"HTML permet de structurer le contenu d'une page web en définissant des éléments comme les titres, les paragraphes et les liens.","HTML تستعمل لتنظيم محتوى صفحة الويب مثل العناوين والفقرات والروابط.","HTML|web page|structure",easy
22,Web Development,fr,"CSS est utilisé pour contrôler la présentation visuelle d'une page web, comme les couleurs, les marges et les polices.","CSS تستعمل لتغيير شكل صفحة الويب، مثل الألوان والخطوط والمسافات.","CSS|style|web",easy
23,Web Development,fr,"JavaScript permet d'ajouter de l'interactivité aux pages web, par exemple en réagissant aux actions de l'utilisateur.","JavaScript تجعل صفحة الويب تتفاعل مع المستخدم، مثل الضغط على زر أو إدخال معلومات.","JavaScript|interaction|user",easy
24,Web Development,ar,"تعمل الواجهة الأمامية على عرض العناصر التي يراها المستخدم ويتفاعل معها مباشرة داخل المتصفح.","الواجهة الأمامية هي الجزء الذي يراه المستخدم ويتعامل معه مباشرة في الموقع.","front-end|browser|user",easy
25,Web Development,ar,"تتولى الواجهة الخلفية معالجة البيانات والمنطق البرمجي والتواصل مع قاعدة البيانات.","الواجهة الخلفية هي الجزء الذي يعالج البيانات وينفذ منطق التطبيق ويتصل بقاعدة البيانات.","back-end|server|database",easy
26,Networking,fr,"Le modèle OSI divise les communications réseau en plusieurs couches afin de faciliter la compréhension et la conception des réseaux.","نموذج OSI يقسم الاتصال في الشبكات إلى طبقات، حتى يسهل فهم الشبكات وتصميمها.","OSI|network|layers",medium
