id,topic,source_lang,original_text,cleaned_original_text,matched_terms,user_prompt,assistant_target
144,Cloud Computing Fundamentals,fr,Un CDN distribue le contenu عبر عدة خوادم.,Un CDN distribue le contenu à travers plusieurs serveurs.,serveur=خادم | CDN=شبكة توزيع المحتوى | contenu=محتوى | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- serveur = خادم
- CDN = شبكة توزيع المحتوى
- contenu = محتوى
- serveurs = خوادم

Text:
Un CDN distribue le contenu à travers plusieurs serveurs.",شبكة توزيع المحتوى توزع البيانات عبر خوادم متعددة.
45,Cybersecurity Basics,ar,تشير البرمجيات الخبيثة إلى برامج ضارة صممت لإلحاق الضرر بالنظام أو سرقة المعلومات.,تشير البرمجيات الخبيثة إلى برامج ضارة صممت لإلحاق الضرر بالنظام أو سرقة المعلومات.,malware=برمجيات خبيثة,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- malware = برمجيات خبيثة

Text:
تشير البرمجيات الخبيثة إلى برامج ضارة صممت لإلحاق الضرر بالنظام أو سرقة المعلومات.",البرمجيات الخبيثة هي برامج مضرة يمكن أن تفسد النظام أو تسرق المعلومات.
42,Cybersecurity Basics,fr,Un pare-feu filtre le trafic réseau entrant et sortant afin de bloquer les connexions non autorisées.,Un pare-feu filtre le trafic réseau entrant et sortant afin de bloquer les connexions non autorisées.,réseau=شبكة | pare-feu=جدار ناري,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- réseau = شبكة
- pare-feu = جدار ناري

Text:
Un pare-feu filtre le trafic réseau entrant et sortant afin de bloquer les connexions non autorisées.",الجدار الناري يراقب حركة الشبكة ويمنع الاتصالات غير المسموح بها.
124,Databases,fr,La clause ORDER BY permet de trier les résultats d'une requête.,La clause ORDER BY permet de trier les résultats d'une requête.,requête=استعلام,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- requête = استعلام

Text:
La clause ORDER BY permet de trier les résultats d'une requête.",ORDER BY يُستخدم لترتيب نتائج الاستعلام.
132,Networking,fr,Une adresse IPv6 est une version plus récente des adresses IP.,Une adresse IPv6 est une version plus récente des adresses IP.,adresse IP=عنوان IP,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- adresse IP = عنوان IP

Text:
Une adresse IPv6 est une version plus récente des adresses IP.",IPv6 هو إصدار أحدث من عناوين IP.
59,Web Development,fr,Un serveur web est responsable de recevoir les requêtes des utilisateurs et de renvoyer les pages demandées.,Un serveur web est responsable de recevoir les requêtes des utilisateurs et de renvoyer les pages demandées.,requête=استعلام | serveur=خادم | page web=صفحة ويب | serveur web=خادم ويب | serveurs=خوادم,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- requête = استعلام
- serveur = خادم
- page web = صفحة ويب
- serveur web = خادم ويب
- serveurs = خوادم

Text:
Un serveur web est responsable de recevoir les requêtes des utilisateurs et de renvoyer les pages demandées.",خادم الويب يستقبل طلبات المستخدمين ويرسل صفحات الموقع المطلوبة.
150,Algorithms,ar,يساعد تحليل الخوارزميات على فهم أدائها.,يساعد تحليل الخوارزميات على فهم أدائها.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يساعد تحليل الخوارزميات على فهم أدائها.",تحليل الخوارزميات يدرس كفاءة الخوارزمية من حيث الوقت والذاكرة.
138,Software Engineering,ar,تساعد نماذج التصميم على حل المشاكل البرمجية المتكررة.,تساعد نماذج التصميم على حل المشاكل البرمجية المتكررة.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
تساعد نماذج التصميم على حل المشاكل البرمجية المتكررة.",أنماط التصميم تقدم حلولًا جاهزة لمشاكل البرمجة الشائعة.
147,Algorithms,fr,Le tri rapide divise la liste en sous-parties plus petites.,Le tri rapide divise la liste en sous-parties plus petites.,liste=قائمة | API=واجهة برمجة التطبيقات,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Use the following Arabic technical terminology when relevant:
- liste = قائمة
- API = واجهة برمجة التطبيقات

Text:
Le tri rapide divise la liste en sous-parties plus petites.",الفرز السريع يقسم القائمة إلى أجزاء أصغر.
53,Databases,ar,يُستخدم القيد الفريد لضمان عدم تكرار القيم داخل عمود معين.,يُستخدم القيد الفريد لضمان عدم تكرار القيم داخل عمود معين.,,"Rewrite the following IT explanation in simple, clear, correct Arabic for Moroccan learners. Preserve the meaning and avoid mixing languages.

Text:
يُستخدم القيد الفريد لضمان عدم تكرار القيم داخل عمود معين.",القيد الفريد يمنع تكرار نفس القيمة داخل العمود.
